model_name,mu,sigma,folds,mean_ll_train,mean_ll_test,sd_ll_train,sd_ll_test
input_surface,0,1,10,-144279.64263963787,-15671.249766449828,142.21974089271137,281.12334413957404
input_surface,0,2,10,-144273.31024218776,-15670.559252206664,142.3750017596475,281.34958052197425
input_surface,0,5,10,-144272.63748930075,-15670.496899072672,142.39621904207849,281.44291104129513
input_surface,0,10,10,-144272.6177550456,-15670.494532160174,142.39629552361671,281.45695866220825
input_surface,0,20,10,-144272.61661228293,-15670.494419472529,142.39627248414905,281.460589351492
input_surface,0,50,10,-144272.6165116583,-15670.49450325418,142.39629349353862,281.4618273352155
input_surface,0,100,10,-144272.61650728853,-15670.494700428857,142.39629625940853,281.4618428280313
input_surface,0,200,10,-144272.61650622074,-15670.494696118563,142.39629690268822,281.46188299717403
input_surface,0,500,10,-144272.6165059267,-15670.494694156694,142.3962970795784,281.4618947625421
