model_name,mu,sigma,folds,mean_ll_train,mean_ll_test,sd_ll_train,sd_ll_test
lexical,0,1,10,-150259.09879307688,-16336.474426796462,112.92595419403493,262.8833934246206
lexical,0,2,10,-150252.8310548709,-16335.793947838707,113.06219465157326,263.06098412562085
lexical,0,5,10,-150252.172485772,-16335.730593407374,113.08341710263521,263.1341589161557
lexical,0,10,10,-150252.1530195247,-16335.730133260036,113.08391946861063,263.14582770788525
lexical,0,20,10,-150252.15170275123,-16335.730856358094,113.08402950070835,263.14904781210817
lexical,0,50,10,-150252.15162563868,-16335.730912620824,113.08401753288057,263.1499166663447
lexical,0,100,10,-150252.1516250533,-16335.730917858693,113.08401697254678,263.14999940529356
lexical,0,200,10,-150252.1516268508,-16335.730705102369,113.08401941114472,263.15033879431206
lexical,0,500,10,-150252.15162690953,-16335.730707848063,113.08401916782994,263.1503393266821
