model_name,mu,sigma,folds,mean_ll_train,mean_ll_test,sd_ll_train,sd_ll_test
lexical_surface,0,1,10,-142855.86858217974,-15513.797662767895,135.1986302830274,273.7912009838731
lexical_surface,0,2,10,-142849.54232691514,-15513.11159381325,135.3457141521025,274.01226725020024
lexical_surface,0,5,10,-142848.87589831097,-15513.046673138257,135.36707754249358,274.1019859897369
lexical_surface,0,10,10,-142848.85598921232,-15513.04670311798,135.36823465792133,274.11781525050657
lexical_surface,0,20,10,-142848.85464833735,-15513.047273148664,135.36836037574145,274.12181048379676
lexical_surface,0,50,10,-142848.85456115272,-15513.047349165294,135.36837417808138,274.1227966076347
lexical_surface,0,100,10,-142848.8545585214,-15513.047369920798,135.368375559642,274.1229497211796
lexical_surface,0,200,10,-142848.85455824545,-15513.047375148477,135.3683758838257,274.1229879881599
lexical_surface,0,500,10,-142848.85455819557,-15513.047376614899,135.36837597307607,274.1229987019124
