"Input","Output","Frequency","VAgreeSurface","HarmonicUniformity"
"a'ile","a'ile-RAISE-F","2898","1","0"
"a'ile","a'ile-RAISE-B","0","","1"
"ahale","ahale-RAISE-F","1972","1","0.3005"
"ahale","ahale-RAISE-B","535","","0.6995"
