"","","","*Unraised","HarmonizeBack","HarmonizeFront"
"","","","*Unraised","HarmonizeBack","HarmonizeFront"
"","dastixan-B","0","1","","0.00607802080501607"
"","dastixan-RAISE-F","0","","0.993921979194984",""
"","dastixan-RAISE-B","17","","","0.00607802080501607"
"dawala","dawala-F","0","1","0.993899313620125",""
"","dawala-B","0","1","","0.00610068637987515"
"","dawala-RAISE-F","0","","0.993899313620125",""
"","dawala-RAISE-B","43","","","0.00610068637987515"
"dawamlash","dawamlash-F","0","1","0.99715345073034",""
"","dawamlash-B","0","1","","0.00284654926965988"
"","dawamlash-RAISE-F","0","","0.99715345073034",""
"","dawamlash-RAISE-B","16","","","0.00284654926965988"
"dawan","dawan-F","0","1","0.995294824714038",""
"","dawan-B","0","1","","0.00470517528596237"
"","dawan-RAISE-F","0","","0.995294824714038",""
"","dawan-RAISE-B","14","","","0.00470517528596237"
"dawrang","dawrang-F","0","1","0.994934482673101",""
"","dawrang-B","0","1","","0.00506551732689886"
"","dawrang-RAISE-F","0","","0.994934482673101",""
"","dawrang-RAISE-B","3","","","0.00506551732689886"
"daya","daya-F","0","1","0.951049111119668",""
"","daya-B","0","1","","0.0489508888803318"
"","daya-RAISE-F","0","","0.951049111119668",""
"","daya-RAISE-B","7","","","0.0489508888803318"
"de'wet","de'wet-F","0","1","0.0513265836127482",""
"","de'wet-B","0","1","","0.948673416387252"
"","de'wet-RAISE-F","1","","0.0513265836127482",""
"","de'wet-RAISE-B","0","","","0.948673416387252"
"debdebe","debdebe-F","0","1","0.0690677611735359",""
"","debdebe-B","0","1","","0.930932238826464"
"","debdebe-RAISE-F","46","","0.0690677611735359",""
"","debdebe-RAISE-B","0","","","0.930932238826464"
"delille","delille-F","0","1","0.0100038885777025",""
"","delille-B","0","1","","0.989996111422297"
"","delille-RAISE-F","76","","0.0100038885777025",""
"","delille-RAISE-B","0","","","0.989996111422297"
"delle","delle-F","0","1","0.14089387008479",""
"","delle-B","0","1","","0.85910612991521"
"","delle-RAISE-F","2","","0.14089387008479",""
"","delle-RAISE-B","0","","","0.85910612991521"
"démokratiyilesh","démokratiyilesh-F","0","1","0.0948905407660677",""
"","démokratiyilesh-B","0","1","","0.905109459233932"
"","démokratiyilesh-RAISE-F","15","","0.0948905407660677",""
"","démokratiyilesh-RAISE-B","1","","","0.905109459233932"
"démokratlash","démokratlash-F","0","1","0.94330606109652",""
"","démokratlash-B","0","1","","0.0566939389034802"
"","démokratlash-RAISE-F","0","","0.94330606109652",""
"","démokratlash-RAISE-B","4","","","0.0566939389034802"
"dende","dende-F","0","1","0.408906483169276",""
"","dende-B","0","1","","0.591093516830724"
"","dende-RAISE-F","2","","0.408906483169276",""
"","dende-RAISE-B","0","","","0.591093516830724"
"depne","depne-F","0","1","0.00307488721103487",""
"","depne-B","0","1","","0.996925112788965"
"","depne-RAISE-F","3","","0.00307488721103487",""
"","depne-RAISE-B","0","","","0.996925112788965"
"depter","depter-F","0","1","0.0126594560332981",""
"","depter-B","0","1","","0.987340543966702"
"","depter-RAISE-F","54","","0.0126594560332981",""
"","depter-RAISE-B","0","","","0.987340543966702"
"derex","derex-F","0","1","0.00480100984783701",""
"","derex-B","0","1","","0.995198990152163"
"","derex-RAISE-F","9","","0.00480100984783701",""
"","derex-RAISE-B","0","","","0.995198990152163"
"derije","derije-F","0","1","0.0110413315337183",""
"","derije-B","0","1","","0.988958668466282"
"","derije-RAISE-F","10400","","0.0110413315337183",""
"","derije-RAISE-B","8","","","0.988958668466282"
"dersxana","dersxana-F","0","1","0.98869853134054",""
"","dersxana-B","0","1","","0.0113014686594604"
"","dersxana-RAISE-F","1","","0.98869853134054",""
"","dersxana-RAISE-B","76","","","0.0113014686594604"
"derwaza","derwaza-F","0","1","0.99553959638422",""
"","derwaza-B","0","1","","0.00446040361577982"
"","derwaza-RAISE-F","0","","0.99553959638422",""
"","derwaza-RAISE-B","192","","","0.00446040361577982"
"desmaye","desmaye-F","0","1","0.0196325255168928",""
"","desmaye-B","0","1","","0.980367474483107"
"","desmaye-RAISE-F","9","","0.0196325255168928",""
"","desmaye-RAISE-B","2","","","0.980367474483107"
"desse","desse-F","0","1","0.0139821342712762",""
"","desse-B","0","1","","0.986017865728724"
"","desse-RAISE-F","8","","0.0139821342712762",""
"","desse-RAISE-B","0","","","0.986017865728724"
"dewet","dewet-F","0","1","0.00169205757963048",""
"","dewet-B","0","1","","0.99830794242037"
"","dewet-RAISE-F","10","","0.00169205757963048",""
"","dewet-RAISE-B","0","","","0.99830794242037"
"dewre","dewre-F","0","1","0.192361176165825",""
"","dewre-B","0","1","","0.807638823834175"
"","dewre-RAISE-F","3","","0.192361176165825",""
"","dewre-RAISE-B","0","","","0.807638823834175"
"didarlash","didarlash-F","0","1","0.969264538614124",""
"","didarlash-B","0","1","","0.030735461385876"
"","didarlash-RAISE-F","0","","0.969264538614124",""
"","didarlash-RAISE-B","3","","","0.030735461385876"
"diktatura","diktatura-F","0","1","0.963458938394845",""
"","diktatura-B","0","1","","0.0365410616051555"
"","diktatura-RAISE-F","0","","0.963458938394845",""
"","diktatura-RAISE-B","2","","","0.0365410616051555"
"diploma","diploma-F","0","1","0.982656065557387",""
"","diploma-B","0","1","","0.0173439344426125"
"","diploma-RAISE-F","0","","0.982656065557387",""
"","diploma-RAISE-B","10","","","0.0173439344426125"
"diyanet","diyanet-F","0","1","0.00615591093525522",""
"","diyanet-B","0","1","","0.993844089064745"
"","diyanet-RAISE-F","3","","0.00615591093525522",""
"","diyanet-RAISE-B","0","","","0.993844089064745"
"dola","dola-F","0","1","0.977306455392642",""
"","dola-B","0","1","","0.0226935446073584"
"","dola-RAISE-F","0","","0.977306455392642",""
"","dola-RAISE-B","12","","","0.0226935446073584"
"dölet","dölet-F","0","1","0.000487724328747337",""
"","dölet-B","0","1","","0.999512275671253"
"","dölet-RAISE-F","1052","","0.000487724328747337",""
"","dölet-RAISE-B","0","","","0.999512275671253"
"dollar","dollar-F","0","1","0.998552287671669",""
"","dollar-B","0","1","","0.00144771232833085"
"","dollar-RAISE-F","0","","0.998552287671669",""
"","dollar-RAISE-B","111","","","0.00144771232833085"
"dolqunla","dolqunla-F","0","1","0.835853492011632",""
"","dolqunla-B","0","1","","0.164146507988368"
"","dolqunla-RAISE-F","0","","0.835853492011632",""
"","dolqunla-RAISE-B","1","","","0.164146507988368"
"domila","domila-F","0","1","0.923789143168673",""
"","domila-B","0","1","","0.0762108568313269"
"","domila-RAISE-F","0","","0.923789143168673",""
"","domila-RAISE-B","3","","","0.0762108568313269"
"doppa","doppa-F","0","1","0.995373769763809",""
"","doppa-B","0","1","","0.00462623023619091"
"","doppa-RAISE-F","0","","0.995373769763809",""
"","doppa-RAISE-B","74","","","0.00462623023619091"
"dora","dora-F","0","1","0.99676991181176",""
"","dora-B","0","1","","0.00323008818824044"
"","dora-RAISE-F","0","","0.99676991181176",""
"","dora-RAISE-B","336","","","0.00323008818824044"
"dorixana","dorixana-F","0","1","0.986856226353251",""
"","dorixana-B","0","1","","0.0131437736467493"
"","dorixana-RAISE-F","0","","0.986856226353251",""
"","dorixana-RAISE-B","20","","","0.0131437736467493"
"dostane","dostane-F","0","1","0.735729602335459",""
"","dostane-B","0","1","","0.264270397664541"
"","dostane-RAISE-F","5","","0.735729602335459",""
"","dostane-RAISE-B","5","","","0.264270397664541"
"dostlash","dostlash-F","0","1","0.972017833368044",""
"","dostlash-B","0","1","","0.0279821666319564"
"","dostlash-RAISE-F","0","","0.972017833368044",""
"","dostlash-RAISE-B","2","","","0.0279821666319564"
"dotey","dotey-F","0","1","0.0209557640086939",""
"","dotey-B","0","1","","0.979044235991306"
"","dotey-RAISE-F","3","","0.0209557640086939",""
"","dotey-RAISE-B","0","","","0.979044235991306"
"döwe","döwe-F","0","1","0.0252010617469508",""
"","döwe-B","0","1","","0.974798938253049"
"","döwe-RAISE-F","14","","0.0252010617469508",""
"","döwe-RAISE-B","0","","","0.974798938253049"
"döwile","döwile-F","0","1","0.333214395748919",""
"","döwile-B","0","1","","0.66678560425108"
"","döwile-RAISE-F","1","","0.333214395748919",""
"","döwile-RAISE-B","0","","","0.66678560425108"
"doxturxana","doxturxana-F","0","1","0.997214891607701",""
"","doxturxana-B","0","1","","0.00278510839229895"
"","doxturxana-RAISE-F","0","","0.997214891607701",""
"","doxturxana-RAISE-B","1255","","","0.00278510839229895"
"doza","doza-F","0","1","0.902005452987801",""
"","doza-B","0","1","","0.0979945470121993"
"","doza-RAISE-F","0","","0.902005452987801",""
"","doza-RAISE-B","1","","","0.0979945470121993"
"dozax","dozax-F","0","1","0.993643628843184",""
"","dozax-B","0","1","","0.00635637115681575"
"","dozax-RAISE-F","0","","0.993643628843184",""
"","dozax-RAISE-B","2","","","0.00635637115681575"
"dukanche","dukanche-F","0","1","0.812808106747348",""
"","dukanche-B","0","1","","0.187191893252652"
"","dukanche-RAISE-F","0","","0.812808106747348",""
"","dukanche-RAISE-B","2","","","0.187191893252652"
"dumba","dumba-F","0","1","0.955268264972309",""
"","dumba-B","0","1","","0.0447317350276915"
"","dumba-RAISE-F","4","","0.955268264972309",""
"","dumba-RAISE-B","0","","","0.0447317350276915"
"dumbala","dumbala-F","0","1","0.930424500861708",""
"","dumbala-B","0","1","","0.0695754991382923"
"","dumbala-RAISE-F","0","","0.930424500861708",""
"","dumbala-RAISE-B","1","","","0.0695754991382923"
"dümle","dümle-F","0","1","0.310373924070139",""
"","dümle-B","0","1","","0.689626075929861"
"","dümle-RAISE-F","3","","0.310373924070139",""
"","dümle-RAISE-B","0","","","0.689626075929861"
"dunyawilash","dunyawilash-F","0","1","0.935613375204517",""
"","dunyawilash-B","0","1","","0.0643866247954833"
"","dunyawilash-RAISE-F","0","","0.935613375204517",""
"","dunyawilash-RAISE-B","2","","","0.0643866247954833"
"düpülde","düpülde-F","0","1","0.333214395748919",""
"","düpülde-B","0","1","","0.66678560425108"
"","düpülde-RAISE-F","3","","0.333214395748919",""
"","düpülde-RAISE-B","0","","","0.66678560425108"
"durdane","durdane-F","0","1","0.308130721425829",""
"","durdane-B","0","1","","0.691869278574171"
"","durdane-RAISE-F","24","","0.308130721425829",""
"","durdane-RAISE-B","5","","","0.691869278574171"
"düshenbe","düshenbe-F","0","1","0.00194863074414437",""
"","düshenbe-B","0","1","","0.998051369255856"
"","düshenbe-RAISE-F","38","","0.00194863074414437",""
"","düshenbe-RAISE-B","0","","","0.998051369255856"
"düshmen","düshmen-F","0","1","0.00270196360933107",""
"","düshmen-B","0","1","","0.997298036390669"
"","düshmen-RAISE-F","76","","0.00270196360933107",""
"","düshmen-RAISE-B","0","","","0.997298036390669"
"düshmenlesh","düshmenlesh-F","0","1","0.0956317967556847",""
"","düshmenlesh-B","0","1","","0.904368203244315"
"","düshmenlesh-RAISE-F","9","","0.0956317967556847",""
"","düshmenlesh-RAISE-B","0","","","0.904368203244315"
"duxawa","duxawa-F","0","1","0.96093793709501",""
"","duxawa-B","0","1","","0.0390620629049896"
"","duxawa-RAISE-F","0","","0.96093793709501",""
"","duxawa-RAISE-B","3","","","0.0390620629049896"
"ede","ede-F","0","1","0.265246178237326",""
"","ede-B","0","1","","0.734753821762674"
"","ede-RAISE-F","1","","0.265246178237326",""
"","ede-RAISE-B","0","","","0.734753821762674"
"edeb","edeb-F","0","1","0.0208299342650178",""
"","edeb-B","0","1","","0.979170065734982"
"","edeb-RAISE-F","1","","0.0208299342650178",""
"","edeb-RAISE-B","0","","","0.979170065734982"
"egeshme","egeshme-F","0","1","0.408906483169276",""
"","egeshme-B","0","1","","0.591093516830724"
"","egeshme-RAISE-F","1","","0.408906483169276",""
"","egeshme-RAISE-B","0","","","0.591093516830724"
"ehde","ehde-F","0","1","0.0161417733127483",""
"","ehde-B","0","1","","0.983858226687252"
"","ehde-RAISE-F","8","","0.0161417733127483",""
"","ehde-RAISE-B","0","","","0.983858226687252"
"ehdiname","ehdiname-F","0","1","0.121992329567379",""
"","ehdiname-B","0","1","","0.878007670432622"
"","ehdiname-RAISE-F","344","","0.121992329567379",""
"","ehdiname-RAISE-B","33","","","0.878007670432622"
"ehmed","ehmed-F","0","1","0.00350357504873998",""
"","ehmed-B","0","1","","0.99649642495126"
"","ehmed-RAISE-F","1","","0.00350357504873998",""
"","ehmed-RAISE-B","0","","","0.99649642495126"
"ehmiyet","ehmiyet-F","0","1","0.00209980440979848",""
"","ehmiyet-B","0","1","","0.997900195590201"
"","ehmiyet-RAISE-F","212","","0.00209980440979848",""
"","ehmiyet-RAISE-B","0","","","0.997900195590201"
"ejeblen","ejeblen-F","0","1","0.0477405483844673",""
"","ejeblen-B","0","1","","0.952259451615533"
"","ejeblen-RAISE-F","2","","0.0477405483844673",""
"","ejeblen-RAISE-B","0","","","0.952259451615533"
"ejel","ejel-F","0","1","0.00321182787172993",""
"","ejel-B","0","1","","0.99678817212827"
"","ejel-RAISE-F","2","","0.00321182787172993",""
"","ejel-RAISE-B","0","","","0.99678817212827"
"elchixana","elchixana-F","0","1","0.997484128987578",""
"","elchixana-B","0","1","","0.0025158710124219"
"","elchixana-RAISE-F","3.99999999999999","","0.997484128987578",""
"","elchixana-RAISE-B","494","","","0.0025158710124219"
"elem","elem-F","0","1","0.00376875067964695",""
"","elem-B","0","1","","0.996231249320353"
"","elem-RAISE-F","3","","0.00376875067964695",""
"","elem-RAISE-B","0","","","0.996231249320353"
"ellame","ellame-F","0","1","0.0109212648652805",""
"","ellame-B","0","1","","0.98907873513472"
"","ellame-RAISE-F","0","","0.0109212648652805",""
"","ellame-RAISE-B","1","","","0.98907873513472"
"emeliyet","emeliyet-F","0","1","0.00122324239521449",""
"","emeliyet-B","0","1","","0.998776757604785"
"","emeliyet-RAISE-F","120","","0.00122324239521449",""
"","emeliyet-RAISE-B","0","","","0.998776757604785"
"emeliylesh","emeliylesh-F","0","1","0.0295536446024904",""
"","emeliylesh-B","0","1","","0.97044635539751"
"","emeliylesh-RAISE-F","39","","0.0295536446024904",""
"","emeliylesh-RAISE-B","3","","","0.97044635539751"
"emiliyet","emiliyet-F","0","1","0.0263970012992038",""
"","emiliyet-B","0","1","","0.973602998700796"
"","emiliyet-RAISE-F","10","","0.0263970012992038",""
"","emiliyet-RAISE-B","0","","","0.973602998700796"
"emirzade","emirzade-F","0","1","0.135802076163154",""
"","emirzade-B","0","1","","0.864197923836846"
"","emirzade-RAISE-F","1","","0.135802076163154",""
"","emirzade-RAISE-B","0","","","0.864197923836846"
"emle","emle-F","0","1","0.265246178237326",""
"","emle-B","0","1","","0.734753821762674"
"","emle-RAISE-F","3","","0.265246178237326",""
"","emle-RAISE-B","0","","","0.734753821762674"
"en'ene","en'ene-F","0","1","0.0124130606064049",""
"","en'ene-B","0","1","","0.987586939393595"
"","en'ene-RAISE-F","1040","","0.0124130606064049",""
"","en'ene-RAISE-B","1","","","0.987586939393595"
"endishe","endishe-F","0","1","0.00378612450924155",""
"","endishe-B","0","1","","0.996213875490758"
"","endishe-RAISE-F","1026","","0.00378612450924155",""
"","endishe-RAISE-B","0","","","0.996213875490758"
"endize","endize-F","0","1","0.0322555593587627",""
"","endize-B","0","1","","0.967744440641237"
"","endize-RAISE-F","63","","0.0322555593587627",""
"","endize-RAISE-B","0","","","0.967744440641237"
"enggüshter","enggüshter-F","0","1","0.0141477450698006",""
"","enggüshter-B","0","1","","0.985852254930199"
"","enggüshter-RAISE-F","1","","0.0141477450698006",""
"","enggüshter-RAISE-B","0","","","0.985852254930199"
"ensire","ensire-F","0","1","0.00561739418113954",""
"","ensire-B","0","1","","0.994382605818861"
"","ensire-RAISE-F","151","","0.00561739418113954",""
"","ensire-RAISE-B","0","","","0.994382605818861"
"epsane","epsane-F","0","1","0.0190444393708459",""
"","epsane-B","0","1","","0.980955560629154"
"","epsane-RAISE-F","87","","0.0190444393708459",""
"","epsane-RAISE-B","7","","","0.980955560629154"
"epsuslan","epsuslan-F","0","1","0.992187721595411",""
"","epsuslan-B","0","1","","0.00781227840458942"
"","epsuslan-RAISE-F","0","","0.992187721595411",""
"","epsuslan-RAISE-B","4","","","0.00781227840458942"
"erdal","erdal-F","0","1","0.978397351982767",""
"","erdal-B","0","1","","0.0216026480172332"
"","erdal-RAISE-F","0","","0.978397351982767",""
"","erdal-RAISE-B","1","","","0.0216026480172332"
"erebche","erebche-F","0","1","0.48257660687594",""
"","erebche-B","0","1","","0.51742339312406"
"","erebche-RAISE-F","29","","0.48257660687594",""
"","erebche-RAISE-B","0","","","0.51742339312406"
"érenshe","érenshe-F","0","1","0.408906483169276",""
"","érenshe-B","0","1","","0.591093516830724"
"","érenshe-RAISE-F","2","","0.408906483169276",""
"","érenshe-RAISE-B","0","","","0.591093516830724"
"erméniye","erméniye-F","0","1","0.0105516489995101",""
"","erméniye-B","0","1","","0.98944835100049"
"","erméniye-RAISE-F","1","","0.0105516489995101",""
"","erméniye-RAISE-B","0","","","0.98944835100049"
"erzan","erzan-F","0","1","0.97354526005334",""
"","erzan-B","0","1","","0.02645473994666"
"","erzan-RAISE-F","4","","0.97354526005334",""
"","erzan-RAISE-B","0","","","0.02645473994666"
"erzanlash","erzanlash-F","0","1","0.880924449858308",""
"","erzanlash-B","0","1","","0.119075550141692"
"","erzanlash-RAISE-F","0","","0.880924449858308",""
"","erzanlash-RAISE-B","1","","","0.119075550141692"
"erze","erze-F","0","1","0.0422312860686707",""
"","erze-B","0","1","","0.957768713931329"
"","erze-RAISE-F","84","","0.0422312860686707",""
"","erze-RAISE-B","0","","","0.957768713931329"
"erziyet","erziyet-F","0","1","0.00516470624566928",""
"","erziyet-B","0","1","","0.994835293754331"
"","erziyet-RAISE-F","1","","0.00516470624566928",""
"","erziyet-RAISE-B","0","","","0.994835293754331"
"eser","eser-F","0","1","0.00154205375946088",""
"","eser-B","0","1","","0.998457946240539"
"","eser-RAISE-F","450","","0.00154205375946088",""
"","eser-RAISE-B","0","","","0.998457946240539"
"ésilzade","ésilzade-F","0","1","0.0604316162270448",""
"","ésilzade-B","0","1","","0.939568383772955"
"","ésilzade-RAISE-F","21","","0.0604316162270448",""
"","ésilzade-RAISE-B","0","","","0.939568383772955"
"eskertme","eskertme-F","0","1","0.199502598094675",""
"","eskertme-B","0","1","","0.800497401905325"
"","eskertme-RAISE-F","6","","0.199502598094675",""
"","eskertme-RAISE-B","0","","","0.800497401905325"
"esle","esle-F","0","1","0.00549008565930867",""
"","esle-B","0","1","","0.994509914340691"
"","esle-RAISE-F","101","","0.00549008565930867",""
"","esle-RAISE-B","1","","","0.994509914340691"
"eslet","eslet-F","0","1","0.0426079140286152",""
"","eslet-B","0","1","","0.957392085971385"
"","eslet-RAISE-F","61","","0.0426079140286152",""
"","eslet-RAISE-B","0","","","0.957392085971385"
"esletme","esletme-F","0","1","0.171952662237796",""
"","esletme-B","0","1","","0.828047337762204"
"","esletme-RAISE-F","14","","0.171952662237796",""
"","esletme-RAISE-B","0","","","0.828047337762204"
"eslime","eslime-F","0","1","0.0394229130402087",""
"","eslime-B","0","1","","0.960577086959791"
"","eslime-RAISE-F","440","","0.0394229130402087",""
"","eslime-RAISE-B","1","","","0.960577086959791"
"esne","esne-F","0","1","0.277633650045294",""
"","esne-B","0","1","","0.722366349954706"
"","esne-RAISE-F","7","","0.277633650045294",""
"","esne-RAISE-B","0","","","0.722366349954706"
"éstoniye","éstoniye-F","0","1","0.0124922602839027",""
"","éstoniye-B","0","1","","0.987507739716097"
"","éstoniye-RAISE-F","7","","0.0124922602839027",""
"","éstoniye-RAISE-B","0","","","0.987507739716097"
"ete","ete-F","0","1","0.0358761706525957",""
"","ete-B","0","1","","0.964123829347404"
"","ete-RAISE-F","68","","0.0358761706525957",""
"","ete-RAISE-B","0","","","0.964123829347404"
"étikapxana","étikapxana-F","0","1","0.959202754829895",""
"","étikapxana-B","0","1","","0.0407972451701051"
"","étikapxana-RAISE-F","0","","0.959202754829895",""
"","étikapxana-RAISE-B","2","","","0.0407972451701051"
"etret","etret-F","0","1","0.0188806125631732",""
"","etret-B","0","1","","0.981119387436827"
"","etret-RAISE-F","89","","0.0188806125631732",""
"","etret-RAISE-B","0","","","0.981119387436827"
"ewre","ewre-F","0","1","0.129075456222331",""
"","ewre-B","0","1","","0.870924543777669"
"","ewre-RAISE-F","2","","0.129075456222331",""
"","ewre-RAISE-B","0","","","0.870924543777669"
"ewret","ewret-F","0","1","0.049647923672877",""
"","ewret-B","0","1","","0.950352076327123"
"","ewret-RAISE-F","6","","0.049647923672877",""
"","ewret-RAISE-B","0","","","0.950352076327123"
"ewrez","ewrez-F","0","1","0.0121390752157301",""
"","ewrez-B","0","1","","0.98786092478427"
"","ewrez-RAISE-F","1","","0.0121390752157301",""
"","ewrez-RAISE-B","0","","","0.98786092478427"
"exlet","exlet-F","0","1","0.00380963572292167",""
"","exlet-B","0","1","","0.996190364277078"
"","exlet-RAISE-F","1","","0.00380963572292167",""
"","exlet-RAISE-B","0","","","0.996190364277078"
"exletxana","exletxana-F","0","1","0.98665818069687",""
"","exletxana-B","0","1","","0.0133418193031304"
"","exletxana-RAISE-F","0","","0.98665818069687",""
"","exletxana-RAISE-B","7","","","0.0133418193031304"
"eyiblen","eyiblen-F","0","1","0.0608732996949354",""
"","eyiblen-B","0","1","","0.939126700305065"
"","eyiblen-RAISE-F","26","","0.0608732996949354",""
"","eyiblen-RAISE-B","0","","","0.939126700305065"
"eyibname","eyibname-F","0","1","0.188029333015622",""
"","eyibname-B","0","1","","0.811970666984378"
"","eyibname-RAISE-F","67","","0.188029333015622",""
"","eyibname-RAISE-B","2","","","0.811970666984378"
"eymen","eymen-F","0","1","0.0375005768858454",""
"","eymen-B","0","1","","0.962499423114155"
"","eymen-RAISE-F","18","","0.0375005768858454",""
"","eymen-RAISE-B","0","","","0.962499423114155"
"ezel","ezel-F","0","1","0.0018839237647337",""
"","ezel-B","0","1","","0.998116076235266"
"","ezel-RAISE-F","1","","0.0018839237647337",""
"","ezel-RAISE-B","0","","","0.998116076235266"
"ezizle","ezizle-F","0","1","0.245350344115321",""
"","ezizle-B","0","1","","0.754649655884679"
"","ezizle-RAISE-F","6","","0.245350344115321",""
"","ezizle-RAISE-B","0","","","0.754649655884679"
"famile","famile-F","0","1","0.0342035300997297",""
"","famile-B","0","1","","0.96579646990027"
"","famile-RAISE-F","308","","0.0342035300997297",""
"","famile-RAISE-B","3","","","0.96579646990027"
"faza","faza-F","0","1","0.958194927400643",""
"","faza-B","0","1","","0.0418050725993568"
"","faza-RAISE-F","0","","0.958194927400643",""
"","faza-RAISE-B","4","","","0.0418050725993568"
"figura","figura-F","0","1","0.986036757003421",""
"","figura-B","0","1","","0.0139632429965793"
"","figura-RAISE-F","0","","0.986036757003421",""
"","figura-RAISE-B","57","","","0.0139632429965793"
"finlandiye","finlandiye-F","0","1","0.00694704155008075",""
"","finlandiye-B","0","1","","0.993052958449919"
"","finlandiye-RAISE-F","10","","0.00694704155008075",""
"","finlandiye-RAISE-B","0","","","0.993052958449919"
"forma","forma-F","0","1","0.991285619419822",""
"","forma-B","0","1","","0.00871438058017793"
"","forma-RAISE-F","1","","0.991285619419822",""
"","forma-RAISE-B","39","","","0.00871438058017793"
"formula","formula-F","0","1","0.983213549887329",""
"","formula-B","0","1","","0.0167864501126713"
"","formula-RAISE-F","0","","0.983213549887329",""
"","formula-RAISE-B","8","","","0.0167864501126713"
"fruktoza","fruktoza-F","0","1","0.950816453799487",""
"","fruktoza-B","0","1","","0.0491835462005132"
"","fruktoza-RAISE-F","0","","0.950816453799487",""
"","fruktoza-RAISE-B","2","","","0.0491835462005132"
"gacha","gacha-F","0","1","0.914880197714626",""
"","gacha-B","0","1","","0.0851198022853741"
"","gacha-RAISE-F","0","","0.914880197714626",""
"","gacha-RAISE-B","2","","","0.0851198022853741"
"gazarma","gazarma-F","0","1","0.984824735265388",""
"","gazarma-B","0","1","","0.0151752647346117"
"","gazarma-RAISE-F","1","","0.984824735265388",""
"","gazarma-RAISE-B","41","","","0.0151752647346117"
"gé'ométiriye","gé'ométiriye-F","0","1","0.0294562222341482",""
"","gé'ométiriye-B","0","1","","0.970543777765852"
"","gé'ométiriye-RAISE-F","2","","0.0294562222341482",""
"","gé'ométiriye-RAISE-B","0","","","0.970543777765852"
"geden","geden-F","0","1","0.115840046080116",""
"","geden-B","0","1","","0.884159953919884"
"","geden-RAISE-F","11","","0.115840046080116",""
"","geden-RAISE-B","0","","","0.884159953919884"
"geme","geme-F","0","1","0.0518012528341433",""
"","geme-B","0","1","","0.948198747165857"
"","geme-RAISE-F","34","","0.0518012528341433",""
"","geme-RAISE-B","0","","","0.948198747165857"
"gende","gende-F","0","1","0.104158784202729",""
"","gende-B","0","1","","0.895841215797271"
"","gende-RAISE-F","2","","0.104158784202729",""
"","gende-RAISE-B","0","","","0.895841215797271"
"geplesh","geplesh-F","0","1","0.0559253546381686",""
"","geplesh-B","0","1","","0.944074645361831"
"","geplesh-RAISE-F","5","","0.0559253546381686",""
"","geplesh-RAISE-B","0","","","0.944074645361831"
"gewde","gewde-F","0","1","0.0160641873056765",""
"","gewde-B","0","1","","0.983935812694324"
"","gewde-RAISE-F","441","","0.0160641873056765",""
"","gewde-RAISE-B","0","","","0.983935812694324"
"gewdilen","gewdilen-F","0","1","0.0365027593536124",""
"","gewdilen-B","0","1","","0.963497240646388"
"","gewdilen-RAISE-F","7","","0.0365027593536124",""
"","gewdilen-RAISE-B","0","","","0.963497240646388"
"gewdilesh","gewdilesh-F","0","1","0.162602835276596",""
"","gewdilesh-B","0","1","","0.837397164723404"
"","gewdilesh-RAISE-F","4","","0.162602835276596",""
"","gewdilesh-RAISE-B","0","","","0.837397164723404"
"gézende","gézende-F","0","1","0.0631446363031392",""
"","gézende-B","0","1","","0.936855363696861"
"","gézende-RAISE-F","3","","0.0631446363031392",""
"","gézende-RAISE-B","0","","","0.936855363696861"
"gézitxana","gézitxana-F","0","1","0.987825440994707",""
"","gézitxana-B","0","1","","0.0121745590052926"
"","gézitxana-RAISE-F","0","","0.987825440994707",""
"","gézitxana-RAISE-B","31","","","0.0121745590052926"
"gezle","gezle-F","0","1","0.408906483169276",""
"","gezle-B","0","1","","0.591093516830724"
"","gezle-RAISE-F","2","","0.408906483169276",""
"","gezle-RAISE-B","0","","","0.591093516830724"
"ghaday","ghaday-F","0","1","0.962020501017538",""
"","ghaday-B","0","1","","0.0379794989824623"
"","ghaday-RAISE-F","0","","0.962020501017538",""
"","ghaday-RAISE-B","1","","","0.0379794989824623"
"ghalcha","ghalcha-F","0","1","0.983039340822123",""
"","ghalcha-B","0","1","","0.016960659177877"
"","ghalcha-RAISE-F","0","","0.983039340822123",""
"","ghalcha-RAISE-B","16","","","0.016960659177877"
"ghalibiyet","ghalibiyet-F","0","1","0.0022809933816203",""
"","ghalibiyet-B","0","1","","0.99771900661838"
"","ghalibiyet-RAISE-F","11","","0.0022809933816203",""
"","ghalibiyet-RAISE-B","0","","","0.99771900661838"
"ghaye","ghaye-F","0","1","0.0178109365212261",""
"","ghaye-B","0","1","","0.982189063478774"
"","ghaye-RAISE-F","189","","0.0178109365212261",""
"","ghaye-RAISE-B","4","","","0.982189063478774"
"ghayiwilesh","ghayiwilesh-F","0","1","0.489178423337844",""
"","ghayiwilesh-B","0","1","","0.510821576662156"
"","ghayiwilesh-RAISE-F","0","","0.489178423337844",""
"","ghayiwilesh-RAISE-B","1","","","0.510821576662156"
"ghazat","ghazat-F","0","1","0.993776959280729",""
"","ghazat-B","0","1","","0.00622304071927093"
"","ghazat-RAISE-F","0","","0.993776959280729",""
"","ghazat-RAISE-B","13","","","0.00622304071927093"
"ghelbe","ghelbe-F","0","1","0.0203544002932508",""
"","ghelbe-B","0","1","","0.979645599706749"
"","ghelbe-RAISE-F","138","","0.0203544002932508",""
