"","","","*Unraised","HarmonizeBack","HarmonizeFront"
"","","","*Unraised","HarmonizeBack","HarmonizeFront"
"","aldan-RAISE-F","0","","0.990841577374055",""
"","aldan-RAISE-B","5","","","0.00915842262594513"
"aldira","aldira-F","0","1","0.987776165285647",""
"","aldira-B","0","1","","0.0122238347143527"
"","aldira-RAISE-F","0","","0.987776165285647",""
"","aldira-RAISE-B","83","","","0.0122238347143527"
"alicha","alicha-F","0","1","0.973691853651931",""
"","alicha-B","0","1","","0.0263081463480687"
"","alicha-RAISE-F","0","","0.973691853651931",""
"","alicha-RAISE-B","11","","","0.0263081463480687"
"aljiriye","aljiriye-F","0","1","0.0165828142600561",""
"","aljiriye-B","0","1","","0.983417185739944"
"","aljiriye-RAISE-F","6","","0.0165828142600561",""
"","aljiriye-RAISE-B","0","","","0.983417185739944"
"allinéme","allinéme-F","0","1","0.333214395748919",""
"","allinéme-B","0","1","","0.66678560425108"
"","allinéme-RAISE-F","4","","0.333214395748919",""
"","allinéme-RAISE-B","0","","","0.66678560425108"
"alma","alma-F","0","1","0.986303001815014",""
"","alma-B","0","1","","0.0136969981849857"
"","alma-RAISE-F","0","","0.986303001815014",""
"","alma-RAISE-B","124","","","0.0136969981849857"
"almash","almash-F","0","1","0.991147917710594",""
"","almash-B","0","1","","0.00885208228940593"
"","almash-RAISE-F","0","","0.991147917710594",""
"","almash-RAISE-B","25","","","0.00885208228940593"
"alte","alte-F","0","1","0.13710735123645",""
"","alte-B","0","1","","0.86289264876355"
"","alte-RAISE-F","2","","0.13710735123645",""
"","alte-RAISE-B","0","","","0.86289264876355"
"amal","amal-F","0","1","0.997961920163762",""
"","amal-B","0","1","","0.00203807983623805"
"","amal-RAISE-F","0","","0.997961920163762",""
"","amal-RAISE-B","24","","","0.00203807983623805"
"ambar","ambar-F","0","1","0.994939714967426",""
"","ambar-B","0","1","","0.00506028503257372"
"","ambar-RAISE-F","0.999999999999998","","0.994939714967426",""
"","ambar-RAISE-B","142","","","0.00506028503257372"
"amet","amet-F","0","1","0.00500536686848347",""
"","amet-B","0","1","","0.994994633131516"
"","amet-RAISE-F","3","","0.00500536686848347",""
"","amet-RAISE-B","0","","","0.994994633131516"
"amma","amma-F","0","1","0.998766658745116",""
"","amma-B","0","1","","0.00123334125488417"
"","amma-RAISE-F","0","","0.998766658745116",""
"","amma-RAISE-B","599","","","0.00123334125488417"
"ammiwilash","ammiwilash-F","0","1","0.922658754042494",""
"","ammiwilash-B","0","1","","0.0773412459575062"
"","ammiwilash-RAISE-F","0","","0.922658754042494",""
"","ammiwilash-RAISE-B","1","","","0.0773412459575062"
"ana","ana-F","0","1","0.999205381181588",""
"","ana-B","0","1","","0.000794618818411696"
"","ana-RAISE-F","2.99999999999991","","0.999205381181588",""
"","ana-RAISE-B","2138","","","0.000794618818411696"
"anche","anche-F","0","1","0.408906483169276",""
"","anche-B","0","1","","0.591093516830724"
"","anche-RAISE-F","2","","0.408906483169276",""
"","anche-RAISE-B","0","","","0.591093516830724"
"angla","angla-F","0","1","0.998426525190284",""
"","angla-B","0","1","","0.00157347480971581"
"","angla-RAISE-F","0","","0.998426525190284",""
"","angla-RAISE-B","487","","","0.00157347480971581"
"anglat","anglat-F","0","1","0.994631490330054",""
"","anglat-B","0","1","","0.00536850966994573"
"","anglat-RAISE-F","0","","0.994631490330054",""
"","anglat-RAISE-B","79","","","0.00536850966994573"
"antanta","antanta-F","0","1","0.978397351982767",""
"","antanta-B","0","1","","0.0216026480172332"
"","antanta-RAISE-F","0","","0.978397351982767",""
"","antanta-RAISE-B","1","","","0.0216026480172332"
"anténna","anténna-F","0","1","0.970780166918212",""
"","anténna-B","0","1","","0.029219833081788"
"","anténna-RAISE-F","0","","0.970780166918212",""
"","anténna-RAISE-B","1","","","0.029219833081788"
"apa","apa-F","0","1","0.997904743635272",""
"","apa-B","0","1","","0.00209525636472785"
"","apa-RAISE-F","1","","0.997904743635272",""
"","apa-RAISE-B","44","","","0.00209525636472785"
"apar","apar-F","0","1","0.994296182551621",""
"","apar-B","0","1","","0.00570381744837889"
"","apar-RAISE-F","0","","0.994296182551621",""
"","apar-RAISE-B","69","","","0.00570381744837889"
"apet","apet-F","0","1","0.00381711128848804",""
"","apet-B","0","1","","0.996182888711512"
"","apet-RAISE-F","177","","0.00381711128848804",""
"","apet-RAISE-B","0","","","0.996182888711512"
"aptomatlash","aptomatlash-F","0","1","0.923789143168673",""
"","aptomatlash-B","0","1","","0.0762108568313269"
"","aptomatlash-RAISE-F","0","","0.923789143168673",""
"","aptomatlash-RAISE-B","1","","","0.0762108568313269"
"aqilane","aqilane-F","0","1","0.0432916446170984",""
"","aqilane-B","0","1","","0.956708355382902"
"","aqilane-RAISE-F","0","","0.0432916446170984",""
"","aqilane-RAISE-B","3","","","0.956708355382902"
"aral","aral-F","0","1","0.997897152765468",""
"","aral-B","0","1","","0.0021028472345318"
"","aral-RAISE-F","0","","0.997897152765468",""
"","aral-RAISE-B","284","","","0.0021028472345318"
"aramsizlan","aramsizlan-F","0","1","0.945085573793152",""
"","aramsizlan-B","0","1","","0.0549144262068482"
"","aramsizlan-RAISE-F","0","","0.945085573793152",""
"","aramsizlan-RAISE-B","1","","","0.0549144262068482"
"archa","archa-F","0","1","0.989989649198877",""
"","archa-B","0","1","","0.0100103508011228"
"","archa-RAISE-F","0","","0.989989649198877",""
"","archa-RAISE-B","24","","","0.0100103508011228"
"arghamcha","arghamcha-F","0","1","0.987005722710868",""
"","arghamcha-B","0","1","","0.0129942772891325"
"","arghamcha-RAISE-F","0","","0.987005722710868",""
"","arghamcha-RAISE-B","19","","","0.0129942772891325"
"arida","arida-F","0","1","0.835853492011632",""
"","arida-B","0","1","","0.164146507988368"
"","arida-RAISE-F","0","","0.835853492011632",""
"","arida-RAISE-B","1","","","0.164146507988368"
"arila","arila-F","0","1","0.974464809411473",""
"","arila-B","0","1","","0.0255351905885275"
"","arila-RAISE-F","0","","0.974464809411473",""
"","arila-RAISE-B","4","","","0.0255351905885275"
"arilash","arilash-F","0","1","0.996762163093291",""
"","arilash-B","0","1","","0.00323783690670854"
"","arilash-RAISE-F","0","","0.996762163093291",""
"","arilash-RAISE-B","196","","","0.00323783690670854"
"arilashma","arilashma-F","0","1","0.960275160838031",""
"","arilashma-B","0","1","","0.0397248391619687"
"","arilashma-RAISE-F","0","","0.960275160838031",""
"","arilashma-RAISE-B","5","","","0.0397248391619687"
"arishang","arishang-F","0","1","0.978172098642468",""
"","arishang-B","0","1","","0.0218279013575319"
"","arishang-RAISE-F","0","","0.978172098642468",""
"","arishang-RAISE-B","1","","","0.0218279013575319"
"arman","arman-F","0","1","0.99795357102358",""
"","arman-B","0","1","","0.00204642897641982"
"","arman-RAISE-F","0","","0.99795357102358",""
"","arman-RAISE-B","107","","","0.00204642897641982"
"armiye","armiye-F","0","1","0.00360812822768656",""
"","armiye-B","0","1","","0.996391871772313"
"","armiye-RAISE-F","252","","0.00360812822768656",""
"","armiye-RAISE-B","0","","","0.996391871772313"
"arpa","arpa-F","0","1","0.990851756834652",""
"","arpa-B","0","1","","0.00914824316534801"
"","arpa-RAISE-F","0","","0.990851756834652",""
"","arpa-RAISE-B","3","","","0.00914824316534801"
"asaret","asaret-F","0","1","0.0112506167004584",""
"","asaret-B","0","1","","0.988749383299542"
"","asaret-RAISE-F","34","","0.0112506167004584",""
"","asaret-RAISE-B","0","","","0.988749383299542"
"ashkarila","ashkarila-F","0","1","0.998162796997447",""
"","ashkarila-B","0","1","","0.00183720300255308"
"","ashkarila-RAISE-F","0","","0.998162796997447",""
"","ashkarila-RAISE-B","280","","","0.00183720300255308"
"ashna","ashna-F","0","1","0.981967035335748",""
"","ashna-B","0","1","","0.0180329646642524"
"","ashna-RAISE-F","0","","0.981967035335748",""
"","ashna-RAISE-B","2","","","0.0180329646642524"
"ashpez","ashpez-F","0","1","0.007484138582739",""
"","ashpez-B","0","1","","0.992515861417261"
"","ashpez-RAISE-F","0","","0.007484138582739",""
"","ashpez-RAISE-B","1","","","0.992515861417261"
"ashqazan","ashqazan-F","0","1","0.989164257756584",""
"","ashqazan-B","0","1","","0.0108357422434157"
"","ashqazan-RAISE-F","0","","0.989164257756584",""
"","ashqazan-RAISE-B","7","","","0.0108357422434157"
"ashxana","ashxana-F","0","1","0.995208548476079",""
"","ashxana-B","0","1","","0.00479145152392135"
"","ashxana-RAISE-F","0","","0.995208548476079",""
"","ashxana-RAISE-B","271","","","0.00479145152392135"
"asman","asman-F","0","1","0.997804427537125",""
"","asman-B","0","1","","0.00219557246287538"
"","asman-RAISE-F","0","","0.997804427537125",""
"","asman-RAISE-B","143","","","0.00219557246287538"
"aspirantura","aspirantura-F","0","1","0.987041840873413",""
"","aspirantura-B","0","1","","0.0129581591265866"
"","aspirantura-RAISE-F","0","","0.987041840873413",""
"","aspirantura-RAISE-B","119","","","0.0129581591265866"
"asra","asra-F","0","1","0.990936676643597",""
"","asra-B","0","1","","0.00906332335640336"
"","asra-RAISE-F","0","","0.990936676643597",""
"","asra-RAISE-B","10","","","0.00906332335640336"
"asrash","asrash-F","0","1","0.94330606109652",""
"","asrash-B","0","1","","0.0566939389034802"
"","asrash-RAISE-F","0","","0.94330606109652",""
"","asrash-RAISE-B","3","","","0.0566939389034802"
"asta","asta-F","0","1","0.956353088791176",""
"","asta-B","0","1","","0.0436469112088236"
"","asta-RAISE-F","0","","0.956353088791176",""
"","asta-RAISE-B","15","","","0.0436469112088236"
"astila","astila-F","0","1","0.959083391149893",""
"","astila-B","0","1","","0.0409166088501071"
"","astila-RAISE-F","0","","0.959083391149893",""
"","astila-RAISE-B","5","","","0.0409166088501071"
"ata","ata-F","0","1","0.998567404794593",""
"","ata-B","0","1","","0.00143259520540673"
"","ata-RAISE-F","0.999999999999999","","0.998567404794593",""
"","ata-RAISE-B","501","","","0.00143259520540673"
"atla","atla-F","0","1","0.990720952402583",""
"","atla-B","0","1","","0.00927904759741749"
"","atla-RAISE-F","0","","0.990720952402583",""
"","atla-RAISE-B","17","","","0.00927904759741749"
"atmosféra","atmosféra-F","0","1","0.983840056034146",""
"","atmosféra-B","0","1","","0.0161599439658542"
"","atmosféra-RAISE-F","0","","0.983840056034146",""
"","atmosféra-RAISE-B","11","","","0.0161599439658542"
"aware","aware-F","0","1","0.333214395748919",""
"","aware-B","0","1","","0.66678560425108"
"","aware-RAISE-F","2","","0.333214395748919",""
"","aware-RAISE-B","1","","","0.66678560425108"
"awatlash","awatlash-F","0","1","0.938363901532966",""
"","awatlash-B","0","1","","0.0616360984670344"
"","awatlash-RAISE-F","0","","0.938363901532966",""
"","awatlash-RAISE-B","2","","","0.0616360984670344"
"awayla","awayla-F","0","1","0.972579812096189",""
"","awayla-B","0","1","","0.0274201879038108"
"","awayla-RAISE-F","0","","0.972579812096189",""
"","awayla-RAISE-B","1","","","0.0274201879038108"
"awi'atsiye","awi'atsiye-F","0","1","0.0903590409926673",""
"","awi'atsiye-B","0","1","","0.909640959007333"
"","awi'atsiye-RAISE-F","2","","0.0903590409926673",""
"","awi'atsiye-RAISE-B","0","","","0.909640959007333"
"awstraliye","awstraliye-F","0","1","0.00185947583590222",""
"","awstraliye-B","0","1","","0.998140524164098"
"","awstraliye-RAISE-F","110","","0.00185947583590222",""
"","awstraliye-RAISE-B","0","","","0.998140524164098"
"axiret","axiret-F","0","1","0.00378794415931956",""
"","axiret-B","0","1","","0.99621205584068"
"","axiret-RAISE-F","2","","0.00378794415931956",""
"","axiret-RAISE-B","0","","","0.99621205584068"
"axirlash","axirlash-F","0","1","0.996028592026157",""
"","axirlash-B","0","1","","0.00397140797384288"
"","axirlash-RAISE-F","0","","0.996028592026157",""
"","axirlash-RAISE-B","67","","","0.00397140797384288"
"axsham","axsham-F","0","1","0.995114908227749",""
"","axsham-B","0","1","","0.00488509177225116"
"","axsham-RAISE-F","0","","0.995114908227749",""
"","axsham-RAISE-B","3","","","0.00488509177225116"
"aya","aya-F","0","1","0.989837371628308",""
"","aya-B","0","1","","0.0101626283716917"
"","aya-RAISE-F","0","","0.989837371628308",""
"","aya-RAISE-B","160","","","0.0101626283716917"
"aydinglash","aydinglash-F","0","1","0.993414423164815",""
"","aydinglash-B","0","1","","0.0065855768351849"
"","aydinglash-RAISE-F","0","","0.993414423164815",""
"","aydinglash-RAISE-B","13","","","0.0065855768351849"
"ayem","ayem-F","0","1","0.0121498422572404",""
"","ayem-B","0","1","","0.98785015774276"
"","ayem-RAISE-F","1","","0.0121498422572404",""
"","ayem-RAISE-B","0","","","0.98785015774276"
"ayet","ayet-F","0","1","0.00316069205966215",""
"","ayet-B","0","1","","0.996839307940338"
"","ayet-RAISE-F","17","","0.00316069205966215",""
"","ayet-RAISE-B","0","","","0.996839307940338"
"aylan","aylan-F","0","1","0.99837833412172",""
"","aylan-B","0","1","","0.00162166587827972"
"","aylan-RAISE-F","0","","0.99837833412172",""
"","aylan-RAISE-B","86","","","0.00162166587827972"
"ayra","ayra-F","0","1","0.9911547463134",""
"","ayra-B","0","1","","0.00884525368659994"
"","ayra-RAISE-F","0","","0.9911547463134",""
"","ayra-RAISE-B","149","","","0.00884525368659994"
"ayriwet","ayriwet-F","0","1","0.0117988535644643",""
"","ayriwet-B","0","1","","0.988201146435536"
"","ayriwet-RAISE-F","3","","0.0117988535644643",""
"","ayriwet-RAISE-B","0","","","0.988201146435536"
"aywan","aywan-F","0","1","0.988570766409263",""
"","aywan-B","0","1","","0.0114292335907366"
"","aywan-RAISE-F","0","","0.988570766409263",""
"","aywan-RAISE-B","2","","","0.0114292335907366"
"aza","aza-F","0","1","0.965456116018127",""
"","aza-B","0","1","","0.0345438839818731"
"","aza-RAISE-F","0","","0.965456116018127",""
"","aza-RAISE-B","1","","","0.0345438839818731"
"azabla","azabla-F","0","1","0.96782116036752",""
"","azabla-B","0","1","","0.0321788396324804"
"","azabla-RAISE-F","0","","0.96782116036752",""
"","azabla-RAISE-B","15","","","0.0321788396324804"
"azade","azade-F","0","1","0.0662835314366413",""
"","azade-B","0","1","","0.933716468563359"
"","azade-RAISE-F","18","","0.0662835314366413",""
"","azade-RAISE-B","0","","","0.933716468563359"
"azat","azat-F","0","1","0.995297951048522",""
"","azat-B","0","1","","0.00470204895147752"
"","azat-RAISE-F","0","","0.995297951048522",""
"","azat-RAISE-B","1","","","0.00470204895147752"
"azay","azay-F","0","1","0.99363795126707",""
"","azay-B","0","1","","0.00636204873293034"
"","azay-RAISE-F","0","","0.99363795126707",""
"","azay-RAISE-B","50","","","0.00636204873293034"
"bahala","bahala-F","0","1","0.996146003963789",""
"","bahala-B","0","1","","0.00385399603621117"
"","bahala-RAISE-F","0","","0.996146003963789",""
"","bahala-RAISE-B","61","","","0.00385399603621117"
"bahane","bahane-F","0","1","0.00508999987808755",""
"","bahane-B","0","1","","0.994910000121912"
"","bahane-RAISE-F","634","","0.00508999987808755",""
"","bahane-RAISE-B","47","","","0.994910000121912"
"bajxana","bajxana-F","0","1","0.953010964067943",""
"","bajxana-B","0","1","","0.0469890359320574"
"","bajxana-RAISE-F","0","","0.953010964067943",""
"","bajxana-RAISE-B","2","","","0.0469890359320574"
"bala","bala-F","0","1","0.999142002382676",""
"","bala-B","0","1","","0.000857997617323525"
"","bala-RAISE-F","8.9999999999997","","0.999142002382676",""
"","bala-RAISE-B","9599","","","0.000857997617323525"
"balayi'apet","balayi'apet-F","0","1","0.00644462120882424",""
"","balayi'apet-B","0","1","","0.993555378791176"
"","balayi'apet-RAISE-F","2","","0.00644462120882424",""
"","balayi'apet-RAISE-B","0","","","0.993555378791176"
"balila","balila-F","0","1","0.902005452987801",""
"","balila-B","0","1","","0.0979945470121993"
"","balila-RAISE-F","0","","0.902005452987801",""
"","balila-RAISE-B","2","","","0.0979945470121993"
"balixana","balixana-F","0","1","0.935613375204517",""
"","balixana-B","0","1","","0.0643866247954833"
"","balixana-RAISE-F","0","","0.935613375204517",""
"","balixana-RAISE-B","4","","","0.0643866247954833"
"bapla","bapla-F","0","1","0.902005452987801",""
"","bapla-B","0","1","","0.0979945470121993"
"","bapla-RAISE-F","0","","0.902005452987801",""
"","bapla-RAISE-B","1","","","0.0979945470121993"
"baqimende","baqimende-F","0","1","0.489178423337844",""
"","baqimende-B","0","1","","0.510821576662156"
"","baqimende-RAISE-F","1","","0.489178423337844",""
"","baqimende-RAISE-B","0","","","0.510821576662156"
"bara","bara-F","0","1","0.994289526983619",""
"","bara-B","0","1","","0.00571047301638083"
"","bara-RAISE-F","0","","0.994289526983619",""
"","bara-RAISE-B","48","","","0.00571047301638083"
"barikada","barikada-F","0","1","0.835853492011632",""
"","barikada-B","0","1","","0.164146507988368"
"","barikada-RAISE-F","0","","0.835853492011632",""
"","barikada-RAISE-B","1","","","0.164146507988368"
"barikalla","barikalla-F","0","1","0.835853492011632",""
"","barikalla-B","0","1","","0.164146507988368"
"","barikalla-RAISE-F","0","","0.835853492011632",""
"","barikalla-RAISE-B","1","","","0.164146507988368"
"bashla","bashla-F","0","1","0.998176442094824",""
"","bashla-B","0","1","","0.00182355790517563"
"","bashla-RAISE-F","0","","0.998176442094824",""
"","bashla-RAISE-B","280","","","0.00182355790517563"
"bashlan","bashlan-F","0","1","0.993873714328295",""
"","bashlan-B","0","1","","0.0061262856717047"
"","bashlan-RAISE-F","0","","0.993873714328295",""
"","bashlan-RAISE-B","15","","","0.0061262856717047"
"bashlanma","bashlanma-F","0","1","0.972314296120896",""
"","bashlanma-B","0","1","","0.0276857038791043"
"","bashlanma-RAISE-F","0","","0.972314296120896",""
"","bashlanma-RAISE-B","18","","","0.0276857038791043"
"bashlash","bashlash-F","0","1","0.989674963085042",""
"","bashlash-B","0","1","","0.010325036914958"
"","bashlash-RAISE-F","0","","0.989674963085042",""
"","bashlash-RAISE-B","29","","","0.010325036914958"
"bashqarma","bashqarma-F","0","1","0.993868327599021",""
"","bashqarma-B","0","1","","0.006131672400979"
"","bashqarma-RAISE-F","0","","0.993868327599021",""
"","bashqarma-RAISE-B","70","","","0.006131672400979"
"bashta","bashta-F","0","1","0.835853492011632",""
"","bashta-B","0","1","","0.164146507988368"
"","bashta-RAISE-F","0","","0.835853492011632",""
"","bashta-RAISE-B","1","","","0.164146507988368"
"basmixana","basmixana-F","0","1","0.993400423696246",""
"","basmixana-B","0","1","","0.00659957630375385"
"","basmixana-RAISE-F","0","","0.993400423696246",""
"","basmixana-RAISE-B","17","","","0.00659957630375385"
"baya","baya-F","0","1","0.835853492011632",""
"","baya-B","0","1","","0.164146507988368"
"","baya-RAISE-F","0","","0.835853492011632",""
"","baya-RAISE-B","1","","","0.164146507988368"
"bayanat","bayanat-F","0","1","0.999301858328879",""
"","bayanat-B","0","1","","0.000698141671120811"
