model_name,mu,sigma,folds,mean_ll_train,mean_ll_test,sd_ll_train,sd_ll_test
lexical_me,0,1,10,-144404.45168263506,-15731.605378404918,121.88536673094369,258.10113881811816
lexical_me,0,10,10,-144397.49757776927,-15730.8922932535,122.0215244105224,258.3753963693661
lexical_me,0,20,10,-144397.4960437444,-15730.891883816104,122.02099566564878,258.3801148247756
lexical_me,0,50,10,-144397.4959584723,-15730.892211162853,122.02099615381306,258.3810303306673
lexical_me,0,100,10,-144397.49595696913,-15730.89221164352,122.02099553390322,258.381093196982
lexical_me,0,200,10,-144397.49595686255,-15730.892245702194,122.02099539883584,258.3811186456808
lexical_me,0,500,10,-144397.4959568516,-15730.892257803365,122.02099536179648,258.3811257847341
