model_name,mu,sigma,folds,mean_ll_train,mean_ll_test,sd_ll_train,sd_ll_test
lexical_input_surface_me,0,1,10,-138732.63156077394,-15098.141001644683,142.27643209266915,272.3515762346062
lexical_input_surface_me,0,10,10,-138725.63179345173,-15097.428106008074,142.43722294545393,272.68474556213687
lexical_input_surface_me,0,20,10,-138725.63024240264,-15097.427918964473,142.43734244653413,272.689217554228
lexical_input_surface_me,0,50,10,-138725.63020965346,-15097.428124479025,142.43735690360637,272.68938659719174
lexical_input_surface_me,0,100,10,-138725.63018368732,-15097.428351482997,142.43735350988686,272.689765851937
lexical_input_surface_me,0,200,10,-138725.63018339995,-15097.428618499016,142.43737635545958,272.6903312466583
lexical_input_surface_me,0,500,10,-138725.63018316837,-15097.428704143058,142.4373761511419,272.69044712647496
