model_name,mu,sigma,folds,mean_ll_train,mean_ll_test,sd_ll_train,sd_ll_test
lexical_input_surface,0,0.001,10,-811329.2617989801,-89787.7100694425,72.59085348000575,222.7975836652326
lexical_input_surface,0,0.01,10,-228714.70782568055,-25053.013705714384,103.06207591837719,247.10586603228202
lexical_input_surface,0,0.02,10,-170239.76161728022,-18555.894629525024,118.07280303991982,258.1937324554191
lexical_input_surface,0,0.05,10,-148294.47420151863,-16117.703319386666,129.41249377353975,269.44863246941367
lexical_input_surface,0,0.1,10,-144441.7396468824,-15689.780694884961,131.96155147180423,272.76658371812334
lexical_input_surface,0,0.2,10,-143228.38421399676,-15555.153601037251,133.92142019181193,272.65992255694766
lexical_input_surface,0,0.5,10,-142896.0798973906,-15518.250410060564,134.72462328408426,273.35753073721867
