model_name,mu,sigma,folds,mean_ll_train,mean_ll_test,sd_ll_train,sd_ll_test
input,0,1,10,-152376.8210943338,-16570.860915688216,127.6112769769745,273.8153030580142
input,0,10,10,-152369.88093671927,-16570.116391760344,127.76805429682209,274.087343178214
input,0,20,10,-152369.87971178925,-16570.116697824218,127.76805592403446,274.0903226415451
input,0,50,10,-152369.87964582077,-16570.117864500222,127.7681375663196,274.08980846118646
input,0,100,10,-152369.87963841687,-16570.117786033956,127.76813281288294,274.09004031059095
input,0,200,10,-152369.87963531454,-16570.11793053565,127.76813002902502,274.0899465766881
input,0,500,10,-152369.8797274988,-16570.117834511315,127.76822287913168,274.09004423075834
