model_name,mu,sigma,folds,mean_ll_train,mean_ll_test,sd_ll_train,sd_ll_test
input_surface,0,0.001,10,-857897.8248636222,-94961.94736328056,71.53834363812648,222.8868251801312
input_surface,0,0.01,10,-238150.28613913452,-26101.15891890528,106.54667243050369,249.9928633532657
input_surface,0,0.02,10,-173527.86959357277,-18920.909911877392,122.72984662228322,260.5177899177214
input_surface,0,0.05,10,-149547.76630007365,-16256.512996789917,136.07026166797593,272.52750017844625
input_surface,0,0.1,10,-145671.12496001055,-15825.811490066613,139.4023008783583,277.3863265432173
input_surface,0,0.2,10,-144631.57804974058,-15710.323990041152,140.7200494636302,279.5143314502463
input_surface,0,0.5,10,-144319.8666857882,-15675.701793055876,141.7571721978613,280.677484378208
