model_name,mu,sigma,folds,mean_ll_train,mean_ll_test,sd_ll_train,sd_ll_test
surface,0,1,10,-290581.2583934406,-31926.939575500062,220.67541486737773,347.4047107653092
surface,0,10,10,-290574.31828424585,-31926.195687402687,220.79048981263932,347.6737132444159
surface,0,20,10,-290574.31673339754,-31926.195921982413,220.79065829688878,347.676721833941
surface,0,50,10,-290574.3166181496,-31926.196042362448,220.79067969023933,347.6775931985068
surface,0,100,10,-290574.31661135197,-31926.19606068709,220.7906825572055,347.6777178401378
surface,0,200,10,-290574.3166100312,-31926.1960653124,220.79068326653746,347.67774900678177
surface,0,500,10,-290574.31660968845,-31926.19606661068,220.790683464594,347.6777577339526
