model_name,mu,sigma,folds,mean_ll_train,mean_ll_test,sd_ll_train,sd_ll_test
lexical_surface,0,1,10,-138732.6319118251,-15098.142734923424,142.27675122655847,272.3486511525052
lexical_surface,0,10,10,-138725.63142353497,-15097.427563905616,142.43725822708072,272.68619189599957
lexical_surface,0,20,10,-138725.63026506623,-15097.4289595434,142.4373946807324,272.6888295577841
lexical_surface,0,50,10,-138725.6301646831,-15097.429201875255,142.4373836492524,272.6900383378138
lexical_surface,0,100,10,-138725.63016012844,-15097.429239976645,142.43738222333405,272.69021161175056
lexical_surface,0,200,10,-138725.63015937412,-15097.42924964241,142.4373818714593,272.69025496289686
lexical_surface,0,500,10,-138725.63015919048,-15097.429252358856,142.43738177325218,272.6902671035725
