model_name,mu,sigma,folds,mean_ll_test,mean_ll_training
surface_true_output,0,2,5,-80845.93431849514,-323381.34604691184
surface_true_output,0,1,5,-80847.5500041956,-323388.1759538204
surface_true_output,0,0.5,5,-80857.84798598182,-323429.66314353584
surface_true_output,0,0.1,5,-81183.89187041413,-324734.08726060117
surface_true_output,0,0.05,5,-82041.94540060675,-328166.4516195746
surface_true_output,0,0.01,5,-100779.68006497282,-403118.25629761274
surface_true_output,0,0.001,5,-246018.55052646075,-984074.1359507644
surface_true_output,0,0.005,5,-134572.9138092297,-538291.3928034656
