model_name,mu,sigma,folds,mean_ll_train,mean_ll_test,sd_ll_train,sd_ll_test
lexical,0,0.001,10,-908546.0705637877,-100589.58855400777,72.23518001184316,220.24427445104638
lexical,0,0.01,10,-247674.47199743957,-27159.913880490014,88.25520921636318,235.4934857584582
lexical,0,0.02,10,-179989.5667877531,-19639.533780730893,100.47386704026967,247.0508168241981
lexical,0,0.05,10,-155506.86534082203,-16919.419347991457,108.59695768111875,257.0865698031679
lexical,0,0.1,10,-151637.42679790268,-16489.55919683021,110.56491450591191,260.34123482276294
lexical,0,0.2,10,-150607.45842086556,-16375.148753915228,111.5873060359118,261.71462563710287
lexical,0,0.5,10,-150298.94783702484,-16340.886771417254,112.49173106703638,262.5416465668252
